,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
97,CIBQCAICFEBQEAQDAUEQMAIEAENR6JBUHIBACAIEE4CACAQCAQYTQAA,Ionia,Piltover & Zaun,Karma,Ezreal,None,None,172
98,CICACAICB4BAEAQCAUBQCAZEFY3QGAQDAEDQSAYBAEBTMBABAIBCKLRYAEBAECIBAEAQEMI,Ionia,Noxus,Yasuo,Swain,None,None,170
99,CIBQEAIDAQXAIAQDAEDQQCIHAECBWHZEE4VTIOQAAEAQCBBR,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,170
100,CIBQGAICFEXDKAQCAICQSBQBAUKB2KBLGQ3ACAYBAUAQ6LQBAEAQEMI,Ionia,Shadow Isles,Karma,Thresh,None,None,168
101,CIBQIAQGDIOSMPIHAEAQICIWDUQCSLQBAIAQOAICAEAQGCQA,Bilgewater,Freljord,Twisted Fate,Braum,None,None,167
102,CIBQEAIFAMHQSAIABEGBUHJBE4VS2MYBAIAASAACAMAQACQPCUAQEAAH,Shadow Isles,Demacia,Garen,Fiora,None,None,167
103,CICAGAIBBELC4AQCAEBAOBABAMPCALZQAIBAGAYEAIAQCAYYAIAQCBBSAEAQEAII,Freljord,Noxus,Braum,Sejuani,None,None,162
104,CIBQKAIEBAMRWNB2AUAQCBALCYQDEAQCAEBAUAIBAIAQKAQBAECB6AICAEEA,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,159
105,CIBQCAIBEIEACBILCAPCQKZQGE2QGAQFAECAMAICAECQOGIA,Freljord,Shadow Isles,Kalista,Elise,None,None,159
106,CIBAGAIEDMSDIBYCAYEAWGQ4EEWTUAQCAECB6LIDAIDASFBRAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,158
107,CIBQCAQGCYDACAABBEFR2JZLAMBAABQJBIBAGAIADISTGAICAADQCAQBAAKSS,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,156
108,CIBQIAIADIUCSKQFAEAQQCIQDE2QEAQBAMDQEAIBAEZAEAIACUYQCAIBAAZA,Demacia,Freljord,Lux,Braum,None,None,154
109,CIBQEAQGBALAMAIAAEERMHJGFMBAEAAJBIBAGAIACUNCOAICAADQEAIBAASQCAQABA,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,153
110,CIBAIAICBQUSWNYHAEAAGCI2DUQCKLICAEAQABYCAEBAEMIBAEBAAAI,Ionia,Demacia,Karma,Fiora,None,None,151
111,CIBQIAIFAEOSQMIFAEAQGCIUDAZACAQBA4AQIAIFAMHRIKYCAEAQCCYBAECTM,Shadow Isles,Freljord,Braum,Anivia,None,None,150
112,CIBAEAQGAURQOAIFBMNCAKJQGE5AEAQCAYARCAYBAUOSQNQBAMAQKDYZHE,Bilgewater,Shadow Isles,None,None,None,None,147
113,CIBAGAIEDMSDICICAYCAQCY2DQOSCLJ2AIAQCBA7AEBAMFAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,145
114,CIBAGAIDCQTTOCIBAQAQYDI4E4UC2NBXAIAQCAYDAEAQIJQA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,143
115,CICAGAIDCQVS4AICAMEQMAIEAENR6JBRGQAQEBAGAIAQCAZXAIAQIJZ2AEAQCAYW,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,143
116,CIBQEAQGBALAMAIAAEERKHJHFMBQEAAGBEFAEAIBAASQEAQAAIDQCAIBAAUQ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,143
117,CIBACAIEEQFAEBQEBAEQWEQ2DQQS2MICAEBAMFACAECB6NABAEAQIGY,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,142
118,CIBAEAQFBAFAWAQGAELR2HRFE4WC6NJWHAAACAICAUBQ,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,141
119,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
119,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
120,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
120,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,139
121,CIBQCAIFAMEQCAYCBAHRIHRFEYUC6AYCAMBQIBIAAEAQCAZO,Shadow Isles,Noxus,Draven,Darius,None,None,137
