,deck_code,matches_played
92,CIBQCAIDFYBQEAYHBAEQKAIEDMPSIKZUAMAQCAZLAEBAGAIEAECBUJZRHIAQCAIDCY,183
93,CIBQEAIFAM2QQAIDAIEA6HRFEYUC6AYCAMBQIBIAAEAQCBIZ,179
94,CICAIAICAIEA6OIBAIBAKBABAMPCILRPAIBAGBYJAIAQCAZWAEBAGAIDAEAQGEYBAEBDCAICAIDQ,177
95,CIBAGAQDAMDQSCICAYCAQCY2DQQS2MJ2AEAQEBQUAIAQCAYEAEBAGAI,174
96,CIBQKAIFAMKCQLZRAUAQIAI3D4SDIAICAQDAEAIBAQ5AEAIFAEVQCAIBAUHQ,172
97,CIBQCAICFEBQEAQDAUEQMAIEAENR6JBUHIBACAIEE4CACAQCAQYTQAA,172
98,CICACAICB4BAEAQCAUBQCAZEFY3QGAQDAEDQSAYBAEBTMBABAIBCKLRYAEBAECIBAEAQEMI,170
99,CIBQEAIDAQXAIAQDAEDQQCIHAECBWHZEE4VTIOQAAEAQCBBR,170
100,CIBQGAICFEXDKAQCAICQSBQBAUKB2KBLGQ3ACAYBAUAQ6LQBAEAQEMI,168
101,CIBQIAQGDIOSMPIHAEAQICIWDUQCSLQBAIAQOAICAEAQGCQA,167
102,CIBQEAIFAMHQSAIABEGBUHJBE4VS2MYBAIAASAACAMAQACQPCUAQEAAH,167
103,CICAGAIBBELC4AQCAEBAOBABAMPCALZQAIBAGAYEAIAQCAYYAIAQCBBSAEAQEAII,162
104,CIBQKAIEBAMRWNB2AUAQCBALCYQDEAQCAEBAUAIBAIAQKAQBAECB6AICAEEA,159
105,CIBQCAIBEIEACBILCAPCQKZQGE2QGAQFAECAMAICAECQOGIA,159
106,CIBAGAIEDMSDIBYCAYEAWGQ4EEWTUAQCAECB6LIDAIDASFBRAA,158
107,CIBQCAQGCYDACAABBEFR2JZLAMBAABQJBIBAGAIADISTGAICAADQCAQBAAKSS,156
108,CIBQIAIADIUCSKQFAEAQQCIQDE2QEAQBAMDQEAIBAEZAEAIACUYQCAIBAAZA,154
109,CIBQEAQGBALAMAIAAEERMHJGFMBAEAAJBIBAGAIACUNCOAICAADQEAIBAASQCAQABA,153
110,CIBAIAICBQUSWNYHAEAAGCI2DUQCKLICAEAQABYCAEBAEMIBAEBAAAI,151
111,CIBQIAIFAEOSQMIFAEAQGCIUDAZACAQBA4AQIAIFAMHRIKYCAEAQCCYBAECTM,150
112,CIBAEAQGAURQOAIFBMNCAKJQGE5AEAQCAYARCAYBAUOSQNQBAMAQKDYZHE,147
113,CIBAGAIEDMSDICICAYCAQCY2DQOSCLJ2AIAQCBA7AEBAMFAA,145
114,CIBAGAIDCQTTOCIBAQAQYDI4E4UC2NBXAIAQCAYDAEAQIJQA,143
115,CICAGAIDCQVS4AICAMEQMAIEAENR6JBRGQAQEBAGAIAQCAZXAIAQIJZ2AEAQCAYW,143
116,CIBQEAQGBALAMAIAAEERKHJHFMBQEAAGBEFAEAIBAASQEAQAAIDQCAIBAAUQ,143
117,CIBACAIEEQFAEBQEBAEQWEQ2DQQS2MICAEBAMFACAECB6NABAEAQIGY,142
118,CIBAEAQFBAFAWAQGAELR2HRFE4WC6NJWHAAACAICAUBQ,141
119,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,139
120,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,139
121,CIBQCAIFAMEQCAYCBAHRIHRFEYUC6AYCAMBQIBIAAEAQCAZO,137
122,CIBQCAICAMCACBIEC4VDCAQCAUAQIAQCAEBAEMIFAECQYFI6FAYAGAIBAIMAGAIFAMDRIAICAUEA,136
123,CIBAEAQGAURQMAIFDIQCSMBRHIBAEAQGAEIQKAIFAEFR2KBWAEBACBIPDE,134
124,CICAEAIDFY3QEAQDAMEQMAIFEQUCWMJVHAAQEBIBAIAQCAYEAIBAGAIHAEAQEBII,133
125,CIBAIAIEDMSC2NAIAIDAQCYUDIOCCLJ2AEBAEBQ5GEAA,132
126,CIBAGAIFFAYTIBICAYCAQIBCFUBAGAIFCQOS4AYCAYJBYJQCAEBAMAQDAECQCDZW,131
127,CIBQGAIBAMLCEBIBAUPCQMBRGUBAEBIEAYBQCAQBA4BQCBILCYMQCAQFAEAA,130
128,CIBAQAIFBEHBAKBKFMYTIAICAUCAEAQBAIBDCBABAUBRIHJWAEAQCAQY,130
129,CIBQEAICBEMAIAIFC4UCUMIDAICQCBQJAIBACAQGGECACBIHCQKS6AIBAECQG,129
130,CIBAGAIDCQTTOCIBAQAQYHBGE4UC2NBWAIAQCAZDAEAQIDIA,129
131,CIBAEAIEEQ2AIAQGBAFSALIDAQAQIHZHGAZQCAQEAYDAEBQCAQJBIHB2AA,128
132,CIBAEAIBAQLAWAICAIDASDARCULSQLBSHEAACAIBAIYQ,127
133,CIBAGAIDAQPSCBYBAEBQWFQ6EYUTAAYBAEBTKAQBAECCUAICAEBAEAIBAMZQCAQBA4,127
134,CIBQCAQGCYEACAABBEFRKGQ5E4VQEAQAAYEQEAQBAAUTGAICAAFACAICAADQ,125
135,CIBAGAIDAQPSCCIBAEBQIBYLCYTCSKRQAIAQCAI6AEBACAQA,125
136,CIBQCAQGCYDQCAABBELB2JRHFMBAEAAJBIBAGAIACUNCKAQCAADQQAA,123
137,CIBQCAIDCQFACBABBQGRYJRHFAWTINQBAICAKAQBAEBSOAIBAQIQA,122
138,CIBASAIAAEEQWDA2DUVS2MYBAIAASAYCAECQGDYCAEAA6FIBAIAAOAA,122
139,CIBQCAIBCYBAEAICA4EQEBQFBAFRIFQ4EE5D4AICAIDBCFIA,121
140,CIBQIAIBBMLCMMAFAEBQIGA2D4QQCAQBAIBQCAIDGUBQCAIEDYVACAQBA4AA,121
141,CIBQGAIBAQLCABQBAQEBSJZUGU5AEAQEA4EQEAICAQFAEAQBAIFACAIBAQNA,120
142,CIBQIAICAYERCOIEAEBQ6HRFF4BAEAYDAQBACAIDAIBQCAQCEYWAEAIBAMMQCAQCBI,120
143,CICAGAIBAMETEAICAEDQGAIDAQPC4BQCAMAQGBAHBAEQAAIBAEARI,119
144,CIBAGAIDAQPSCBQBAECAWFRGFEYAGAIBAM2QGAIBA4PCUAICAEBAEAQBAEAQGAICAEDQ,117
145,CIBQKAQGBALCAJR2AUAQGAQPDYSSQAQCAMBQIAQBAEBS6AICAYWQA,115
146,CICACAIDAQBQEAYBA4EQIAIBAMCBMMQEAIAQCAQGA4AQEAQDAMEAA,114
147,CIBQCAQGCYEACAABBELB2JJGE4VQEAQABEFAGAICAYEACAIACUAQEAAHAEAQEAAI,114
148,CIBQEAIBAQLACAQBA4EQEBQFBAIRIJBGHE5D2AQBAEAQKAICAYSQA,113
149,CIBAGAQFA4EAUBQCAYLSOLBPGU4AEAQCAYOSKBABAUAR2KBWAEAQEBQ6,111
150,CIBQKAIDAQMBUHZBAUAQCCYWDYTDAAICAEBAEAIBAM2QEAIBAQVACAIBAMZQ,111
151,CIBQCAIDFYBQEAYDA4EQOAQGAQEAWGQ4EYWQEAIBAMCAEAQDAEEACAICAYJA,107
152,CIBQEAICAIUQEAQCAMEQMAIEDMPSIKZUHIBQCAIEAEBACAQEGEBAEAQBAUAA,107
153,CIBQKAIEBAMRWNB2AQAQCBALCYQAGAQBAICQUAQBAECDKAICAEEAA,105
154,CIBQCAQGCYEACAABBEKRUHJHFMZQGAQAAMDASAIBAIAAOAICAEAAWEQ,104
155,CIBQGAQGDIVS2BQBAQARYHZEFU2ACAQEBIBAEAQGA4EQGAIEBQTCOAA,103
156,CIBAGAIEDMSDIBYCAYEAWGQ4EEWTUAQBAECC2AYCAYERIMICAEAQIHYBAICAM,103
157,CICAEAICBQHQCAQCAUBQCAZEFY3QGAQDAEDQSAYBAEBTMBABAIBCKLRYAEBAECIBAEAQEMI,103
158,CICAIAICAIGCMOIFAECBAGZHGQ4AEAQCAEEQCAQEBAAQEAICEUYQA,103
159,CIBAKAIBBQKBQJZJAYAQKAIPDUUDMNYCAEAQCFYBAECQIAQBAEATIAQBAUMSC,103
160,CIBAEAQBAIDQWAQGAUEAWDIUDQQCCIRRHIAACAICAEEA,102
161,CIBAGAIEDMSDICICAYEAWEQ2DQQSMLJ2AEAQEBQ5AIAQCBA7AEBAMBA,101
162,CIBAIAIDAMKCGJYIAECACDANDQTCOKBNAIAQCAYLAEAQINAA,100
163,CIBQGAIDAQPSCBYBAEBQWFQ6EYUTAAICAEBAEAQBAECCUAICAEDQCAIBAM2Q,99
164,CIBAIAIDAQMB6IIFAEAQWFQ6EYYAGAIBAMNAGAIBAQVDEAICAEBAEAICAEDQEAIDGM2Q,99
165,CIBAEAIEEQ2AUAQGAQEAWFA2DQQS2MJ2AIAQCBA3AEBAMHIA,99
166,CIBAGAIFFA3DOCABAEBQYFAXDATSSMQCAEAQCCYCAECQ6HIBAEAQKAI,99
167,CIBQEAIBAMRAOAIFA4FR4KBLGAYQGAQFAECAMAQBAECRSAICAEDQA,98
168,CIBAEAIBAQLAUAICAIDASDARCUUCYMRZAIAQCARRAEBAEBIA,97
169,CIBQEAIFDUUAEAQFBAFAKAQGDUTS6NJYAMBAEBRFFQBACBIZGYAQEBIHAIBACBJLFYAQEBID,96
170,CIBQMAIAAYHRUIJKGECQCAIIBEIBSNICAIAQGBYAAEAQEAAB,96
171,CIBAGAICA4JSABIBAAESKKZNGQBAMAIAAMFRKGQ5D4AQEAAFAEBACAAHEA,96
172,CIBAIAIBAQLDAMQFAECA2JZIFU2AGAQBAEOR4AYBAQAQYJQBAICAMAIBAECBC,96
173,CICAIAIBAMDRMKIBAIAQOBIBAACAWGRLFUBAEAAJBIBACAQAAEAQEAICAA,95
174,CICAEAIDDYXQGAQDAEDQQAQBAELC4BACAEAQEBQJAIAQCAJSAIBAGAYGAEAQEAYE,95
175,CIBQCAIBCYEQCAQCAYEQYEIUFQZDSAICAICQEAIBAI2ACAQBA4BACAIBAQBACARKGE,95
176,CIBAGAIDAQPSCBIBAEFRMJRJGABQCAIDGUCQCAIDAQDR4KQBAIAQEAQBAEAQCAIBAMZQ,95
177,CIBQMAQGAQEBUHJGFUBACAZOG4CQEAYBAMDQQCIAAEAQEBQ4,94
178,CIBQMAIEBAIRYJZNGQCACBJGFAXTCAQCAUAQIAQBAECAYAICAQBQA,93
179,CIAAABASAECQCAYPCQMRUHJBEMUCWMJSGQ2TMNZYAEBAKAISAEAQCAYEA4EQWEQUCYLRQHREEYUSUMBSAMBACAQGA4,93
180,CIBQMAIEBAIRYJZNGQCACBJGFAXTCAQCAUAQIAQBAECAYAICAQBQA,93
181,CIBQGAIDCQXDOAICAMEQQAIEAENR6JBHGE2DUAQBAEBRMAICAQDAA,91
182,CIBQGAIDAQPSCBYBAECAWFQ6EYUTAAICAEBAEAIBAM2QEAIBA4VACAIBAMZQ,91
183,CIBQGAQGCANCWCABAQAQYHBHFAWTINYBAICAGAQBAECBUAICAYDQA,91
